Frequency (Hz)	Level (dB)
7881.152344	-63.567677
7924.218750	-63.582970
7967.285156	-61.934566
8010.351562	-62.849167
8053.417969	-61.006084
8096.484375	-58.003807
8139.550781	-50.139961
8182.617188	-60.271164
8225.683594	-62.245834
8268.750000	-61.431213
8311.816406	-61.656132
8354.882812	-60.418423
8397.949219	-59.421848
8441.015625	-58.271301
8484.082031	-54.959858
8527.148438	-52.849716
8570.214844	-48.117531
8613.281250	-38.589409
8656.347656	-39.366028
8699.414062	-48.539112
8742.480469	-53.033199
8785.546875	-55.766567
8828.613281	-57.114651
8871.679688	-57.870487
8914.746094	-58.531822
8957.812500	-58.835758
9000.878906	-60.217339
9043.945312	-60.210804
9087.011719	-57.407272
9130.078125	-47.959637
9173.144531	-57.438282
9216.210938	-59.533192
9259.277344	-59.675404
9302.343750	-60.755024
9345.410156	-58.110374
9388.476562	-55.340149
9431.542969	-55.498623
9474.609375	-53.359840
9517.675781	-53.127518
9560.742188	-51.648991
9603.808594	-44.882599
9646.875000	-27.050177
9689.941406	-40.784481
9733.007812	-47.940601
9776.074219	-52.172832
9819.140625	-52.241615
9862.207031	-56.148155
9905.273438	-60.498539
9948.339844	-58.658966
9991.406250	-61.321102
10034.472656	-60.513721
10077.539062	-57.369568
10120.605469	-58.185875
10163.671875	-46.343891
10206.738281	-55.862507
10249.804688	-62.837997
10292.871094	-66.871376
10335.937500	-67.614639
10379.003906	-66.741653
10422.070312	-67.342850
10465.136719	-67.014244
10508.203125	-65.887505
10551.269531	-66.759575
10594.335938	-66.047539
10637.402344	-59.429020
10680.468750	-44.627560
10723.535156	-54.230438
10766.601562	-58.348927
10809.667969	-62.668877
10852.734375	-62.541203
10895.800781	-63.475185
10938.867188	-63.417488
10981.933594	-62.990704
11025.000000	-60.316799
11068.066406	-59.313900
11111.132812	-56.627583
11154.199219	-50.307758
11197.265625	-39.270908
11240.332031	-44.225052
11283.398438	-52.130981
11326.464844	-55.907631
11369.531250	-58.497147
11412.597656	-59.432652
11455.664062	-59.462856
11498.730469	-62.173058
11541.796875	-62.245327
11584.863281	-59.699085
11627.929688	-60.778633
11670.996094	-57.077003
11714.062500	-49.900524
11757.128906	-46.907322
11800.195312	-57.411983
11843.261719	-60.435478
11886.328125	-62.967995
11929.394531	-64.311890
11972.460938	-62.671753
12015.527344	-63.686214
12058.593750	-64.484940
12101.660156	-63.242374
12144.726562	-64.704857
12187.792969	-65.858910
12230.859375	-63.468822
12273.925781	-52.493698
12316.992188	-61.820667
12360.058594	-64.073036
12403.125000	-65.649506
12446.191406	-65.414391
12489.257812	-64.454414
12532.324219	-62.692501
12575.390625	-62.530098
12618.457031	-60.418575
12661.523438	-58.354237
12704.589844	-56.789478
12747.656250	-51.699726
12790.722656	-43.000202
12833.789062	-41.016403
12876.855469	-51.926216
12919.921875	-56.770260
12962.988281	-59.710735
13006.054688	-59.879105
13049.121094	-61.619678
13092.187500	-62.758823
13135.253906	-64.562035
13178.320312	-63.375713
13221.386719	-63.693451
13264.453125	-63.591915
13307.519531	-58.931927
13350.585938	-50.538048
13393.652344	-51.648785
13436.718750	-60.711281
13479.785156	-63.517933
13522.851562	-66.361244
13565.917969	-67.695763
13608.984375	-67.831833
13652.050781	-67.857513
13695.117188	-66.234314
13738.183594	-59.238590
13781.250000	-62.840149
13824.316406	-64.094391
13867.382812	-64.424484
13910.449219	-59.096069
13953.515625	-50.870548
13996.582031	-52.004070
14039.648438	-57.751129
14082.714844	-66.056732
14125.781250	-67.199478
14168.847656	-66.943405
14211.914062	-69.001190
14254.980469	-67.788376
14298.046875	-69.206772
14341.113281	-70.927254
14384.179688	-70.196899
14427.246094	-64.528160
14470.312500	-54.248501
14513.378906	-65.520027
14556.445312	-69.957123
14599.511719	-70.057854
14642.578125	-69.959747
14685.644531	-70.923401
14728.710938	-72.136826
14771.777344	-71.658203
14814.843750	-71.775986
14857.910156	-70.841995
14900.976562	-70.491982
14944.042969	-68.218239
14987.109375	-65.319252
15030.175781	-58.592045
15073.242188	-62.458927
15116.308594	-70.191177
15159.375000	-72.788788
15202.441406	-73.061043
15245.507812	-73.350502
15288.574219	-73.498665
15331.640625	-72.678535
15374.707031	-73.268059
15417.773438	-70.731155
15460.839844	-69.175621
15503.906250	-62.825699
15546.972656	-62.452511
15590.039062	-52.202213
15633.105469	-51.312958
15676.171875	-59.636757
15719.238281	-65.131477
15762.304688	-67.491585
15805.371094	-67.304756
15848.437500	-68.734673
15891.503906	-69.363525
15934.570312	-70.210419
15977.636719	-70.262749
16020.703125	-58.324596
16063.769531	-67.731804
16106.835938	-70.138191
16149.902344	-69.433395
16192.968750	-59.497280
16236.035156	-68.626671
16279.101562	-71.084267
16322.167969	-72.531067
16365.234375	-73.135155
16408.300781	-72.520164
16451.367188	-72.541763
16494.433594	-72.230904
16537.500000	-67.729279
16580.566406	-68.740013
16623.632812	-71.123085
16666.699219	-70.709793
16709.765625	-65.534889
16752.832031	-54.916759
16795.898438	-57.038155
16838.964844	-64.770615
16882.031250	-67.390228
16925.097656	-68.844757
16968.164062	-70.172195
17011.230469	-71.029045
17054.296875	-70.698463
17097.363281	-69.193481
17140.429688	-71.535446
17183.496094	-71.380165
17226.562500	-71.563736
17269.628906	-71.186882
17312.695312	-69.141823
17355.761719	-60.443859
17398.828125	-67.313446
17441.894531	-71.508011
17484.960938	-71.700768
17528.027344	-71.282234
17571.093750	-68.991119
17614.160156	-60.181213
17657.226562	-63.817734
17700.292969	-69.736893
17743.359375	-71.288544
17786.425781	-72.632851
17829.492188	-72.411812
17872.558594	-72.436958
17915.625000	-71.499840
17958.691406	-60.711258
18001.757812	-68.849777
18044.824219	-72.099060
18087.890625	-71.999321
18130.957031	-71.909065
18174.023438	-64.639977
18217.089844	-69.883080
18260.156250	-73.089867
18303.222656	-74.269585
18346.289062	-74.098595
18389.355469	-73.814240
18432.421875	-73.768692
18475.488281	-73.841843
18518.554688	-72.574890
18561.621094	-69.333893
18604.687500	-72.781761
18647.753906	-72.440865
18690.820312	-72.651810
18733.886719	-69.292107
18776.953125	-59.060471
18820.019531	-66.641045
18863.085938	-70.683197
18906.152344	-73.172424
18949.218750	-72.875687
18992.285156	-73.833084
19035.351562	-74.091568
19078.417969	-73.487389
19121.484375	-73.627899
19164.550781	-73.906136
19207.617188	-74.050262
19250.683594	-73.911552
19293.750000	-64.917686
